bill_id,intercept_term,num_cosponsors,introduced_month,num_voting_rounds,num_passed_rounds,amount,bipartisan score,% of cosponsors in the committee it is referred to,historical rate for success,historical rate for getting out committee,Vote-mean,Vote-stdev,Vote-hist-10%,Vote-hist-25%,Vote-hist-50%,Vote-hist-75%,Vote-hist-90%,status
hjres88,1,1,10,0,0,111823.8,1,0.12,0.0602134146,0.2538109756,0.7998196271,2.1612946691,-1.8115678359,-0.4475188372,0.7712217439,1.4243317384,3.5367528803,REFERRED
hjres89,1,1,10,1,1,61303.8461538462,1,0.24,0.015704154,0.0871327254,0.982098398,2.3268090003,-1.3189843643,-0.3329840653,0.4994763617,1.2148455565,4.6982074574,PASS_OVER:HOUSE
hjres9,1,1,1,0,0,22807.5714285714,1,0.0066666667,0.0337142857,0.1388571429,0.4999985505,1.8889956124,-1.6262638094,-0.6261365648,0.2484326733,0.8185931329,3.3997102988,REFERRED
hjres90,1,1,10,1,1,61303.8461538462,1,0.0092307692,0.0310559006,0.115942029,0.7012116333,2.3595055,-1.7327421511,-0.639081251,0.3373521897,0.9255759156,4.1610716343,PASS_OVER:HOUSE
hjres91,1,21,10,2,2,108880.8,0.5714285714,0.0057142857,0.0078328982,0.0223118918,0.7331442468,1.3316240406,-0.8142280597,-0.1689273972,0.6121330645,1.1908001761,2.6914837997,ENACTED:SIGNED
hjres92,1,1,10,0,0,35533.5,1,0.0145454545,0.0078328982,0.0223118918,0.6610623131,2.2987823288,-1.7167913487,-0.6230593764,0.327174815,0.867549442,4.0308399829,REFERRED
hjres93,1,3,10,0,0,221449.727272727,0.6666666667,0.0188235294,0.015704154,0.0871327254,0.7424374966,2.3259099408,-1.5829808032,-0.639575025,0.3314085714,0.9299794772,4.5241532147,REFERRED
hjres94,1,16,10,0,0,31328.5714285714,0.9375,0.96,0.0483870968,0.2741935484,0.6897627874,1.6746768413,-0.655205648,-0.2492258261,0.1659950322,0.7912830543,3.3439346516,REFERRED
hjres95,1,1,10,0,0,266544.25,1,0,0.1050583658,0.2010376135,0.7715519983,2.0650789369,-1.2417487224,-0.4238521841,0.3443064118,0.9932801082,3.8798468332,REFERRED
hjres96,1,4,10,0,0,22383.8125,0.75,0.0355555556,0.0437566702,0.1419423693,0.6281491759,2.1419297771,-1.3822716059,-0.5167816115,0.0960921623,0.7920790501,3.7635175108,REFERRED
