billid, x, binned score, bipartisan score, status
hr5623,1,0.0,0.0,REFERRED
hr5624,1,0.0,0.0,REFERRED
hr5625,1,0.0,0.0,REFERRED
hr5626,1,0.0,0.0,REFERRED
hr5627,1,0.0,0.0,REFERRED
hr5628,1,1.0,1.0,REFERRED
hr5629,1,1.0,1.0,REFERRED
hr563,1,0.0,0.0,REFERRED
hr5630,1,0.4,0.375,REFERRED
hr5631,1,0.3,0.272727272727,REFERRED
hr5632,1,1.0,1.0,REFERRED
hr5633,1,0.0,0.0,REFERRED
hr5634,1,0.0,0.0,REFERRED
hr5635,1,0.0,0.0,REFERRED
hr5636,1,0.0,0.0,REFERRED
hr5637,1,0.0,0.0,REFERRED
hr5638,1,1.0,1.0,REFERRED
hr5639,1,0.0,0.0,REFERRED
hr564,1,0.0,0.0,REFERRED
hr5640,1,0.4,0.4,REFERRED
hr5641,1,0.0,0.0,REFERRED
hr5642,1,1.0,1.0,REFERRED
hr5643,1,0.5,0.5,REFERRED
hr5644,1,0.7,0.666666666667,REFERRED
hr5645,1,0.7,0.666666666667,REFERRED
hr5646,1,0.4,0.428571428571,REFERRED
hr5647,1,1.0,1.0,REFERRED
hr5648,1,1.0,1.0,REFERRED
hr5649,1,1.0,1.0,REFERRED
hr565,1,0.0,0.0384615384615,REFERRED
hr5650,1,1.0,1.0,REFERRED
hr5651,1,0.0,0.0,REFERRED
hr5652,1,0.0,0.0,REFERRED
hr5653,1,1.0,1.0,REFERRED
hr5654,1,0.0,0.0,REFERRED
hr5655,1,0.5,0.5,REFERRED
hr5656,1,0.5,0.5,REFERRED
hr5657,1,0.5,0.5,REFERRED
hr5658,1,1.0,1.0,REFERRED
hr5659,1,1.0,1.0,REFERRED
hr566,1,0.5,0.5,REFERRED
hr5660,1,0.0,0.0,REFERRED
hr5661,1,0.0,0.0,REFERRED
hr5662,1,0.0,0.0,REFERRED
hr5663,1,0.0,0.0,REFERRED
hr5664,1,0.0,0.0,REFERRED
hr5665,1,1.0,1.0,REFERRED
hr5666,1,1.0,1.0,REFERRED
hr5667,1,1.0,1.0,REFERRED
hr5668,1,1.0,1.0,REFERRED
hr5669,1,1.0,1.0,REFERRED
hr567,1,1.0,0.980392156863,REFERRED
hr5670,1,0.6,0.611111111111,REFERRED
hr5671,1,1.0,1.0,REFERRED
hr5672,1,0.5,0.5,REFERRED
hr5673,1,1.0,1.0,REFERRED
hr5674,1,0.0,0.0,REFERRED
hr5675,1,0.5,0.5,REFERRED
hr5676,1,0.0,0.0,REFERRED
hr5677,1,1.0,1.0,REFERRED
hr5678,1,0.0,0.0,REFERRED
hr5679,1,0.9,0.928571428571,REFERRED
hr568,1,1.0,1.0,REPORTED
hr5680,1,0.0,0.0,REFERRED
hr569,1,0.4,0.442307692308,REFERRED
hr57,1,1.0,1.0,REFERRED
hr570,1,0.4,0.425,PASS_OVER:HOUSE
hr571,1,0.8,0.75,REFERRED
hr572,1,0.7,0.666666666667,REFERRED
hr573,1,0.1,0.0810810810811,PASS_OVER:HOUSE
hr574,1,0.0,0.0487804878049,REFERRED
hr575,1,1.0,1.0,REFERRED
hr576,1,1.0,1.0,REFERRED
hr577,1,1.0,1.0,REFERRED
hr578,1,1.0,1.0,REFERRED
hr579,1,0.0,0.0,REPORTED
hr58,1,1.0,1.0,REFERRED
hr580,1,0.9,0.91935483871,REFERRED
hr581,1,1.0,1.0,REFERRED
hr582,1,0.9,0.95,REFERRED
hr583,1,0.0,0.0,REFERRED
hr584,1,0.1,0.0833333333333,REFERRED
hr585,1,1.0,1.0,REPORTED
hr586,1,1.0,1.0,REPORTED
hr587,1,1.0,1.0,REFERRED
hr588,1,0.4,0.435897435897,ENACTED:SIGNED
hr589,1,0.3,0.333333333333,REFERRED
hr59,1,1.0,1.0,REFERRED
hr590,1,0.0,0.0,REFERRED
hr591,1,0.0,0.0,REFERRED
hr592,1,0.5,0.5,PASS_OVER:HOUSE
hr593,1,1.0,1.0,REFERRED
hr594,1,0.4,0.394736842105,ENACTED:SIGNED
hr595,1,0.0,0.0408163265306,REFERRED
hr596,1,0.4,0.403225806452,REFERRED
hr597,1,0.0,0.0,REFERRED
hr598,1,0.0,0.0,REFERRED
